ID,Title,Year,Artist
0,"Shiver",2000,Coldplay
1,"Yellow",2000,Coldplay
2,"Trouble",2000,Coldplay
3,"Don't Panic",2001,Coldplay
4,"In My Place",2002,Coldplay
5,"The Scientist",2002,Coldplay
6,"Clocks",2003,Coldplay
7,"God Put a Smile upon Your Face",2003,Coldplay
8,"Speed of Sound",2005,Coldplay
9,"Fix You",2005,Coldplay
10,"Talk",2005,Coldplay
11,"The Hardest Part",2006,Coldplay
12,"Violet Hill",2008,Coldplay
13,"Viva la Vida",2008,Coldplay
14,"Life in Technicolor II",2009,Coldplay
15,"Strawberry Swing",2009,Coldplay
16,"Christmas Lights",2010,Coldplay
17,"Every Teardrop Is a Waterfall",2011,Coldplay
18,"Paradise",2011,Coldplay
19,"Charlie Brown",2012,Coldplay
20,"Princess of China (with Rihanna)",2012,Coldplay
21,"Hurts Like Heaven",2012,Coldplay
22,"Atlas",2013,Coldplay
23,"Magic",2014,Coldplay
24,"A Sky Full of Stars",2014,Coldplay
25,"True Love",2014,Coldplay
26,"Ink",2014,Coldplay
27,"Adventure of a Lifetime",2015,Coldplay
28,"Hymn for the Weekend",2016,Coldplay
29,"Up&Up",2016,Coldplay
30,"A Head Full of Dreams",2016,Coldplay
31,"Everglow",2016,Coldplay
32,"Something Just like This (with The Chainsmokers)",2017,Coldplay
33,"Miracles (Someone Special) (with Big Sean)",2017,Coldplay
34,"Higher Power",2021,Coldplay
35,"My Universe (with BTS)",2021,Coldplay
36,"Let Somebody Go (with Selena Gomez)",2022,Coldplay
37,"Moses",2003,Coldplay
38,"What If",2006,Coldplay
39,"Lovers in Japan",2008,Coldplay
40,"Midnight",2014,Coldplay
41,"Everyday Life",2019,Coldplay
42,"Champion of the World",2020,Coldplay
43,"Coloratura",2021,Coldplay
44,"Biutyful",2021,Coldplay